id,nameChinese,nameEnglish,nameGerman,meridian,element,location,depth,frequency,harmonicFrequencies,pointTypes,functions,indications,precautions,chakraCorrespondence
LU1,Zhongfu,Central Treasury,Zentralspeicher,LU,metal,"6 cun lateral zur vorderen Mittellinie, im 1. ICR",0.5-0.8 cun schräg lateral,384,768; 1152; 1536; 1920,mu_front,Zerstreut Hitze; Reguliert Lungen-Qi; Stoppt Husten,Husten; Asthma; Brustschmerzen; Schulterschmerzen,Nicht tief stechen - Pneumothorax-Risiko,anahata
LU2,Yunmen,Cloud Gate,Wolkentor,LU,metal,"6 cun lateral zur vorderen Mittellinie, unter der Clavicula",0.5-0.8 cun schräg lateral,388.8,777.6; 1166.4; 1555.2; 1944,regular,Zerstreut Lungen-Qi; Klärt Hitze,Husten; Asthma; Schulterschmerzen,Nicht tief stechen,
LU3,Tianfu,Celestial Storehouse,Himmelsspeicher,LU,metal,"3 cun unter dem vorderen Achselfalten-Ende, am lateralen Rand des M. biceps",0.5-1 cun,393.6,787.2; 1180.8; 1574.4; 1968,regular,Klärt Lungen-Hitze; Kühlt Blut,Asthma; Nasenbluten; Oberarmschmerzen,,
LU4,Xiabai,Guarding White,Weißer Wächter,LU,metal,4 cun unter dem vorderen Achselfalten-Ende,0.5-1 cun,398.4,796.8; 1195.2; 1593.6; 1992,regular,Reguliert Qi im Brustkorb,Husten; Atemnot; Herzschmerzen,,
LU5,Chize,Cubit Marsh,Ellenbogensee,LU,metal,"In der Ellenbogenfalte, radial der Bizepssehne",0.8-1.2 cun,432,864; 1296; 1728; 2160,he_sea,Klärt Lungen-Hitze; Senkt rebellierendes Qi; Entspannt Sehnen,Husten; Hämoptyse; Fieber; Ellenbogenschmerzen,,ajna
LU6,Kongzui,Maximum Opening,Tiefste Öffnung,LU,metal,"7 cun proximal der Handgelenksfalte, auf der Verbindung LU5-LU9",0.5-1 cun,408,816; 1224; 1632; 2040,xi_cleft,Klärt Hitze; Stoppt Blutungen; Lindert Husten,Akuter Husten; Asthma; Hämoptyse; Halsschmerzen,,
LU7,Lieque,Broken Sequence,Unterbrochene Reihe,LU,metal,"1.5 cun proximal der Handgelenksfalte, über dem Proc. styloideus radii",0.3-0.5 cun schräg,460.8,921.6; 1382.4; 1843.2; 2304,luo_connecting; confluent,Öffnet Ren Mai; Zerstreut Wind; Fördert Lungen-Qi-Absenkung,Kopfschmerzen; Nackensteifigkeit; Husten; Asthma; Handgelenkschmerzen,,vishuddha
LU8,Jingqu,Channel Ditch,Kanalrinne,LU,metal,"1 cun proximal der Handgelenksfalte, in der Vertiefung radial der A. radialis",0.3-0.5 cun,480,960; 1440; 1920; 2400,jing_river,Senkt Lungen-Qi; Klärt Hitze,Husten; Asthma; Halsschmerzen; Handgelenkschmerzen,,
LU9,Taiyuan,Supreme Abyss,Großer Abgrund,LU,metal,"In der Handgelenksfalte, radial der A. radialis",0.3-0.5 cun,512,1024; 1536; 2048; 2560,shu_stream; yuan_source; hui_meeting,Tonisiert Lungen-Qi; Stärkt Blutgefäße; Transformiert Schleim,Husten; Asthma; Pulsdiagnose; Handgelenkschmerzen,,vishuddha
LU10,Yuji,Fish Border,Fischrand,LU,metal,"Am Thenarrand, auf der Grenze zwischen roter und weißer Haut",0.5-1 cun,537.6,1075.2; 1612.8; 2150.4; 2688,ying_spring,Klärt Lungen-Hitze; Befeuchtet Kehle,Halsschmerzen; Heiserkeit; Fieber,,
LU11,Shaoshang,Lesser Shang,Kleines Shang,LU,metal,"Am Daumen, 0.1 cun proximal des radialen Nagelwinkelwinkels",0.1 cun oder Blutenlassen,576,1152; 1728; 2304; 2880,jing_well,Klärt Hitze; Belebt Bewusstsein; Lindert Halsschmerzen,Akute Halsschmerzen; Fieber; Bewusstlosigkeit; Epistaxis,,
LI1,Shangyang,Shang Yang,Metall-Yang,LI,metal,"Am Zeigefinger, 0.1 cun proximal des radialen Nagelwinkels",0.1 cun oder Blutenlassen,387.2,774.4; 1161.6; 1548.8; 1936,jing_well,Klärt Hitze; Belebt Bewusstsein,Zahnschmerzen; Halsschmerzen; Taubheitsgefühl der Finger,,
LI2,Erjian,Second Space,Zweiter Zwischenraum,LI,metal,"Radial am Zeigefinger, distal des 2. MCP-Gelenks",0.2-0.3 cun,391.7,783.4; 1175.1; 1566.8; 1958.5,ying_spring,Klärt Yang-Ming-Hitze,Zahnschmerzen; Halsschmerzen; Nasenbluten,,
LI3,Sanjian,Third Space,Dritter Zwischenraum,LI,metal,"Radial am Zeigefinger, proximal des 2. MCP-Gelenks",0.5-1 cun,396.2,792.4; 1188.6; 1584.8; 1981,shu_stream,Zerstreut Wind und Hitze; Klärt Yang-Ming,Zahnschmerzen; Halsschmerzen; Rötung und Schwellung des Auges,,
LI4,Hegu,Union Valley,Vereinigte Täler,LI,metal,"Im 1. Intermetakarpalraum, auf der Höhe der Mitte des 2. Metakarpale",0.5-1 cun,432,864; 1296; 1728; 2160,yuan_source,Zerstreut Wind und Hitze; Öffnet die Oberfläche; Lindert Schmerzen,Kopfschmerzen; Zahnschmerzen; Gesichtsschmerzen; Erkältung,Kontraindiziert in der Schwangerschaft,ajna
LI5,Yangxi,Yang Stream,Yang-Bach,LI,metal,"Auf der radialen Seite des Handgelenks, in der Tabatiere",0.5-0.8 cun,410.4,820.8; 1231.2; 1641.6; 2052,jing_river,Klärt Yang-Ming-Hitze; Lindert Schmerzen,Handgelenkschmerzen; Kopfschmerzen; Zahnschmerzen,,
LI6,Pianli,Side Passage,Seitenpassage,LI,metal,"3 cun proximal von LI5, auf der Verbindung LI5-LI11",0.5-1 cun,405.6,811.2; 1216.8; 1622.4; 2028,luo_connecting,Öffnet Wasserwege; Zerstreut Wind,Ödeme; Tinnitus; Nasenbluten,,
LI7,Wenliu,Warm Flow,Warmer Fluss,LI,metal,5 cun proximal von LI5,0.5-1 cun,414.8,829.6; 1244.4; 1659.2; 2074,xi_cleft,Klärt Hitze; Beruhigt Geist,Akute Halsschmerzen; Gesichtsschwellung; Zungengeschwür,,
LI8,Xialian,Lower Ridge,Unterer Kamm,LI,metal,4 cun distal von LI11,0.5-1 cun,400.8,801.6; 1202.4; 1603.2; 2004,regular,Reguliert Darm-Qi,Bauchschmerzen; Ellenbogenschmerzen,,
LI9,Shanglian,Upper Ridge,Oberer Kamm,LI,metal,3 cun distal von LI11,0.5-1 cun,419.2,838.4; 1257.6; 1676.8; 2096,regular,Reguliert Darm-Qi,Bauchschmerzen; Armschmerzen; Hemiplegie,,
LI10,Shousanli,Arm Three Miles,Drei Meilen des Arms,LI,metal,2 cun distal von LI11,1-1.5 cun,424,848; 1272; 1696; 2120,regular,Reguliert Qi und Blut; Harmonisiert Magen-Darm,Bauchschmerzen; Durchfall; Zahnschmerzen; Armschwäche,,
LI11,Quchi,Pool at the Bend,Teich an der Beuge,LI,metal,Am lateralen Ende der Ellenbogenfalte bei gebeugtem Arm,1-1.5 cun,460.8,921.6; 1382.4; 1843.2; 2304,he_sea,Klärt Hitze; Kühlt Blut; Zerstreut Wind,Fieber; Hauterkrankungen; Hypertonie; Ellenbogenschmerzen,,anahata
LI12,Zhouliao,Elbow Bone Hole,Ellenbogen-Vertiefung,LI,metal,1 cun lateral und proximal von LI11,0.5-1 cun,428.8,857.6; 1286.4; 1715.2; 2144,regular,Entspannt Sehnen,Ellenbogenschmerzen; Armschwäche,,
LI13,Shouwuli,Arm Five Miles,Fünf Meilen des Arms,LI,metal,"3 cun proximal von LI11, am lateralen Rand des Humerus",0.5-1 cun,433.6,867.2; 1300.8; 1734.4; 2168,regular,Reguliert Qi,Oberarmschmerzen; Skrofulose,,
LI14,Binao,Upper Arm,Oberarm,LI,metal,"Am unteren Rand des M. deltoideus, 7 cun proximal von LI11",0.5-1 cun,438.4,876.8; 1315.2; 1753.6; 2192,regular,Reguliert Qi; Belebt Blut,Schulterschmerzen; Augenerkrankungen,,
LI15,Jianyu,Shoulder Bone,Schulterknochen,LI,metal,In der vorderen Grube des Schulterdaches bei abduziertem Arm,0.8-1.5 cun,443.2,886.4; 1329.6; 1772.8; 2216,regular,Zerstreut Wind; Löst Feuchtigkeit,Schulterschmerzen; Frozen Shoulder; Armlähmung,,
LI16,Jugu,Great Bone,Großer Knochen,LI,metal,In der Vertiefung zwischen Akromion und Spina scapulae,0.5-1 cun,448,896; 1344; 1792; 2240,regular,Zerstreut Wind; Öffnet Kollateralen,Schulterschmerzen; Nackenschmerzen,,
LI17,Tianding,Celestial Tripod,Himmlischer Dreifuß,LI,metal,"Am Hals, 1 cun unter LI18, am Hinterrand des M. SCM",0.5-0.8 cun,452.8,905.6; 1358.4; 1811.2; 2264,regular,Befeuchtet Kehle; Zerstreut Schwellung,Halsschmerzen; Heiserkeit; Schluckbeschwerden,,
LI18,Futu,Support the Prominence,Stütze des Kehlkopfes,LI,metal,"Auf Höhe des Adamsapfels, am Hinterrand des M. SCM",0.3-0.5 cun,457.6,915.2; 1372.8; 1830.4; 2288,regular,Reguliert Qi; Zerstreut Schwellung,Husten; Heiserkeit; Halsschmerzen,Nicht tief stechen - Gefäße,
LI19,Kouheliao,Mouth Grain Bone Hole,Mundkornvertiefung,LI,metal,0.5 cun lateral des Philtrums,0.3-0.5 cun,462.4,924.8; 1387.2; 1849.6; 2312,regular,Zerstreut Wind; Öffnet Nasenpassage,Nasenbluten; verstopfte Nase; Gesichtslähmung,,
LI20,Yingxiang,Welcome Fragrance,Duft empfangen,LI,metal,"In der Nasolabialfalte, auf Höhe des Nasenflügels",0.3-0.5 cun schräg,480,960; 1440; 1920; 2400,regular,Zerstreut Wind; Öffnet Nasenpassage,Rhinitis; Sinusitis; Gesichtslähmung; Juckreiz im Gesicht,,ajna
ST1,Chengqi,Container of Tears,Tränenhalter,ST,earth,"Direkt unter der Pupille, am Unterrand der Orbita",0.3-0.7 cun entlang der Orbita,256,512; 768; 1024; 1280,regular,Klärt Hitze; Erhellt Augen,Augenerkrankungen; Tränenfluss; Gesichtslähmung,Vorsicht - Orbita,
ST2,Sibai,Four Whites,Vier Weiße,ST,earth,"Direkt unter der Pupille, im Foramen infraorbitale",0.3-0.5 cun,259.2,518.4; 777.6; 1036.8; 1296,regular,Zerstreut Wind; Erhellt Augen,Augenerkrankungen; Gesichtslähmung; Trigeminusneuralgie,,
ST3,Juliao,Great Bone Hole,Große Knochenvertiefung,ST,earth,"Direkt unter ST2, auf Höhe des Nasenflügels",0.3-0.5 cun,262.4,524.8; 787.2; 1049.6; 1312,regular,Zerstreut Wind; Lindert Schwellung,Gesichtslähmung; Nasenbluten; Zahnschmerzen,,
ST4,Dicang,Earth Granary,Irdischer Speicher,ST,earth,0.4 cun lateral des Mundwinkels,0.3-0.5 cun schräg,265.6,531.2; 796.8; 1062.4; 1328,regular,Zerstreut Wind; Aktiviert Kollateralen,Gesichtslähmung; Speichelfluss; Trigeminusneuralgie,,
